Locality,Title,Location,Rent_raw,Rent_inr,Deposit_raw,Sqft_raw,Sqft,Price_per_sqft,Parking,Furnishing,Available_from,Property_type,Detail_URL
Hinjawadi,"Office Space in Hinjawadi Phase Ii, Pune for Rent","Gera's Imperium Rise, Hinjawadi Phase 2 Road, Hinjawadi Phase II, Hinjewadi Rajiv Gandhi Infotech Park, Hinjawadi, Pune, Maharashtra, India, opposite wipro","₹ 45,000 No Extra Maintenance",45000,₹ 1 Lac,528 sqft,528,85.23,Parking,Semi Furnished,18-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-hinjawadi-phase-ii-pune/8a9fbe827e243aab017e248bf8e62d7b/detail
Hinjawadi,"Office Space in Pimple Saudagar, Pune for Rent","Nashik Phata Rd, Hotel Govind Garden","₹ 30,000 + ₹ 2,000 Maintenance",30000,₹ 1 Lac,517 sqft,517,58.03,Parking,Unfurnished,16-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-pimple-saudagar-pune/8a9fa2879923e7ed019923efc53a01f7/detail
Hinjawadi,"Office Space in Hinjawadi, Pune for Rent","Hinjawadi phase 3, Tata Consultancy Services Limited","₹ 70,000 + ₹ 8,000 Maintenance",70000,₹ 4.2 Lacs,000 sqft,0,70,Parking,Furnished,10-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-hinjawadi-pune/8a9f8ec3936c012d01936c7229c734af/detail
Hinjawadi,"Commercial Property in Pimpri-chinchwad, Pune for Rent","injawadi Rajiv Gandhi Infotech Park, Streets of Europe","₹ 26,000 + ₹ 3,000 Maintenance",26000,"₹ 40,000",275 sqft,275,94.55,Parking,Unfurnished,13-11-2025,Commercial,https://www.nobroker.in/property/commercial/rent/other-business-in-pimpri-chinchwad-pune/8a9fad8499c3ec210199c41dda981367/detail
Hinjawadi,"Office Space in Hinjewadi Phase Ii, Hinjewadi Rajiv Gandhi Infotech Park, Hinjawadi, Pune for Rent","wipro circle, Ibis Pune Hinjewadi","₹ 22,000 No Extra Maintenance",22000,"₹ 66,000",422 sqft,422,52.13,Parking,Furnished,11-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-hinjewadi-phase-ii--hinjewadi-rajiv-gandhi-infotech-park--hinjawadi-pune/8a9fd35183a64ee80183a6cad9496021/detail
Hinjawadi,"Office Space in Hinjawadi, Pune for Rent","Destination, 24, Maan Rd, next to Godrej, Phase 1, Hinjawadi Rajiv Gandhi Infotech Park, Hinjawadi, Pune, Pimpri-Chinchwad, Maharashtra 411057, Destination Hinjawadi","₹ 35,000 No Extra Maintenance",35000,₹ 1 Lac,260 sqft,260,134.62,Parking,Unfurnished,14-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in--hinjawadi-pune/8a9f884391d6748a0191d6bcfe3d16b6/detail
Hinjawadi,"Office Space in Hinjawadi, Pune for Rent","Hinjewadi,Pimpri Chinchwad Pune, Phase 1, Hinjewadi Rajiv Gandhi Infotech Park, Hinjawadi","₹ 40,000 + ₹ 7,000 Maintenance",40000,₹ 2.4 Lacs,000 sqft,0,40,Parking,Furnished,19-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-hinjawadi-pune/8a9fb7827d433d8e017d4389bdc71861/detail
Hinjawadi,"Office Space in Hinjawadi Phase Ii, Pune for Rent","Hinjawadi Rajiv Gandhi Infotech Park, Wipro Circle","₹ 70,000 + ₹ 5,000 Maintenance",70000,₹ 2.25 Lacs,064 sqft,64,65.79,Parking,Furnished,12-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-hinjawadi-phase-ii-pune/8a9f8a03922e6e8901922ec5722818de/detail
Hinjawadi,"Office Space in Hinjewadi, Pune for Rent","Phase 2 , Wipro Technologies Limited","₹ 35,000 No Extra Maintenance",35000,₹ 1 Lac,515 sqft,515,67.96,Parking,Furnished,20-10-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-hinjewadi-pune/8a9fadd680e6b65d0180e6dfc21018e9/detail
Hinjawadi,"Office Space in Hinjewadi, Pune for Rent","phase 1 , Radisson Blu Pune Hinjawadi","₹ 95,000 + ₹ 9,000 Maintenance",95000,₹ 5 Lacs,500 sqft,500,63.33,Parking,Furnished,15-10-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-hinjewadi-pune/8a9f93859578e4980195791266ec0a9c/detail
Hinjawadi,"Shop in Hinjawadi, Pune for Rent","Hinjawadi Rajiv Gandhi Infotech Park, Lemon Tree Hotel","₹ 19,000 + ₹ 2,000 Maintenance",19000,₹ 1 Lac,200 sqft,200,95,Parking,Unfurnished,15-10-2025,Shop,https://www.nobroker.in/property/commercial/rent/shop-in-hinjawadi-pune/8a9f824393aa3b580193aa475eaf0384/detail
Hinjawadi,"Shop in Hinjewadi Phase 1, Pune for Rent","maan rd , Kannu Ki Chai Maan Road Hinjewadi Phase 1","₹ 15,000 No Extra Maintenance",15000,"₹ 50,000",200 sqft,200,75,Parking,Unfurnished,28-09-2025,Shop,https://www.nobroker.in/property/commercial/rent/shop-in-hinjewadi-phase-1-pune/8a9fbb8395f097c70195f0a26e230286/detail
Hinjawadi,"Shop in Hinjawadi, Pune for Rent","Hinjewadi Phase 1 Road, Hinjewadi Phase 1 Road","₹ 25,000 + ₹ 4,500 Maintenance",25000,"₹ 75,000",198 sqft,198,126.26,Parking,Unfurnished,03-10-2025,Shop,https://www.nobroker.in/property/commercial/rent/shop-in-hinjawadi-pune/8a9f9b8495f5c4c20195f60a4dfa1a91/detail
Hinjawadi,"Office Space in Hinjewadi, Pune for Rent","Phase 2 Road, Haldiram's","₹ 45,000 No Extra Maintenance",45000,₹ 1 Lac,400 sqft,400,112.5,Parking,Unfurnished,22-09-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-hinjewadi-pune/8a9f92049191cad30191920ee12d0cdc/detail
Hinjawadi,"Office Space in Hinjawadi, Pune for Rent","rajiv gandi infotech park , ibis Pune Hinjewadi","₹ 32,000 + No Extra Maintenance",32000,₹ 1.5 Lacs,600 sqft,600,53.33,Parking,Semi Furnished,18-08-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-hinjawadi-pune/8a9fae8281dbfa7b0181dc3f880d2399/detail
Hinjawadi,"Office Space in Suratwala Mark Plazzo, Hinjawadi Village, Hinjawadi, Pune, Maharashtra, India, Pune for Rent","Suratwala Mark Plazzo, Opp Dmart hinjewadi and KFC","₹ 35,000 No Extra Maintenance",35000,₹ 1 Lac,518 sqft,518,67.57,Parking,Unfurnished,31-10-2024,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-suratwala-mark-plazzo--hinjawadi-village--hinjawadi--pune--maharashtra--india-pune/8a9fd314836928310183699ad2db49e2/detail
Hinjawadi,"Shop in Hinjewadi, Pune for Rent","phase 1, near wipro circle , maan rd , Kannu Ki Chai Maan Road Hinjewadi Phase 1","₹ 22,000 + No Extra Maintenance",22000,"₹ 75,000",110 sqft,110,200,Parking,Unfurnished,07-08-2025,Shop,https://www.nobroker.in/property/commercial/rent/shop-in-hinjewadi-pune/8a9f8e8496f0cc0a0196f11815140fb2/detail
Hinjawadi,"Office Space in Hinjewadi, Pune for Rent","hinjewadi rajiv Gandhi Rd, Ibis Pune Hinjewadi","₹ 45,000 + ₹ 6,000 Maintenance",45000,₹ 2 Lacs,685 sqft,685,65.69,Parking,Furnished,31-08-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-hinjewadi-pune/ff8081816ce8c090016cedc334e84af5/detail
Hinjawadi,"Office Space in Hinjawadi, Pune for Rent","Hinjawadi Phase 2 Road, Hinjawadi Phase 2 Road,Wipro circle","₹ 23,000 No Extra Maintenance",23000,"₹ 50,000",412 sqft,412,55.83,Parking,Furnished,18-08-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-hinjawadi-pune/8a9ff68389d436210189d4645219240c/detail
